
Project Name,020_MSM_Template_Mat_24_E23B
emmebank Title,020_MSM_Template_Mat_24_E23B
Year,2018
Slot No,12
Scenario Title AM,2018 AM 2018March_update_SepNet_AGSv1_E23B
Date,20240724
User,ChapaJay1
File Name,C:/002_D/MSM_P2_E23/020_MSM_Template_Mat_24_E23B/2018/2018/outputs/Landuse_Table/Landuse_Detailed_Table_2018_Slot_12.csv

c ,Zone,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH1PT1,HH1PT2,HH1PT3,HH1PT4,HH1PT5,HH1PT6,HH1PT7,HH1PT8,HH2PT1,HH2PT2,HH2PT3,HH2PT4,HH2PT5,HH2PT6,HH2PT7,HH2PT8,HH3PT1,HH3PT2,HH3PT3,HH3PT4,HH3PT5,HH3PT6,HH3PT7,HH3PT8,HH4PT1,HH4PT2,HH4PT3,HH4PT4,HH4PT5,HH4PT6,HH4PT7,HH4PT8,HH5PT1,HH5PT2,HH5PT3,HH5PT4,HH5PT5,HH5PT6,HH5PT7,HH5PT8,HH6PT1,HH6PT2,HH6PT3,HH6PT4,HH6PT5,HH6PT6,HH6PT7,HH6PT8,HH7PT1,HH7PT2,HH7PT3,HH7PT4,HH7PT5,HH7PT6,HH7PT7,HH7PT8,HH8PT1,HH8PT2,HH8PT3,HH8PT4,HH8PT5,HH8PT6,HH8PT7,HH8PT8,E1,E2,E3,E4,E5,E6,Prim,Sec,Tert
,1,115.1568,124.9964,252.1599,140.4167,365.8481,46.94864,98.62997,80.51333,7.16225,11.74735,13.39352,0.00000,0.00000,5.79760,43.93304,59.10926,10.10338,16.57133,18.89349,5.44248,112.5646,1e-07,8e-07,0.00000,31.72870,37.59317,36.07857,0.00000,0.00000,28.62409,198.9124,258.5165,33.77281,40.01511,38.40293,9.82083,129.7589,13.43924,93.39100,27.71888,94.07410,111.4620,106.9713,51.31060,677.9475,0.02669,0.18550,0.43989,6.89985,7.91014,13.04484,5.90588,15.10474,42.64423,55.23098,29.12868,13.82141,15.84516,26.13073,49.88032,127.5729,44.21146,57.26080,31.15981,9.83269,11.27240,18.58966,64.29868,164.4490,8.07481,10.45815,4.78245,102.6958,125.3420,35.40960,131.7443,177.0889,402.4823,144.0000,0.00000,1.86830
,2,90.02467,53.49637,70.57433,39.47116,96.82838,21.30502,32.61141,24.40287,3.61756,5.93343,6.76489,0.00000,0.00000,3.41601,25.88585,61.19528,3.99570,6.55365,7.47202,2.42522,50.15980,1e-07,1e-06,0.00000,14.17640,16.79666,16.11993,0.00000,0.00000,10.39565,72.24065,58.20271,13.43323,15.91612,15.27487,2.98769,39.47520,4.32803,30.07601,6.12180,33.77629,40.01923,38.40690,13.97993,184.7116,0.00463,0.03218,0.14688,3.99698,4.58222,7.55668,2.74741,7.02672,21.65413,28.04551,10.83915,5.46745,6.26801,10.33676,16.63172,42.53695,16.38814,21.22522,8.39228,3.85083,4.41468,7.28038,20.21486,51.70111,3.27034,4.23561,1.40269,65.49900,38.85450,84.31953,155.3874,114.0638,35.67981,403.0000,391.0000,9.23320
,3,40.14714,39.91634,52.62571,31.71952,80.33337,11.56797,18.70462,15.43628,2.72625,4.47152,5.09812,0.00000,0.00000,2.37637,18.00769,19.04618,3.25746,5.34281,6.09151,1.80386,37.30850,0.00000,6e-07,0.00000,10.73816,12.72292,12.21032,0.00000,0.00000,7.46319,51.86263,47.43816,10.08375,11.94755,11.46619,2.27444,30.05132,3.33861,23.20041,4.59104,26.01837,30.82739,29.58538,11.44098,151.1654,0.01276,0.08869,0.13369,1.90402,2.18281,3.59973,1.45524,3.72188,11.49290,14.88512,5.70833,2.84260,3.25882,5.37422,9.79219,25.04431,9.65628,12.50640,4.91061,2.07378,2.37742,3.92068,12.56414,32.13378,2.02234,2.61925,0.87666,3.23485,9.94763,1.66095,1.65796,16.59018,24.92407,0.00000,0.00000,0.00000
,4,27.61645,13.05523,23.91630,11.12920,24.41132,3.72697,4.54744,2.79191,0.73562,1.20655,1.37562,0.00000,0.00000,0.99578,7.54583,18.15236,0.41474,0.68025,0.77558,0.57849,11.96472,0.00000,3e-07,0.00000,3.83126,4.53940,4.35651,0.00000,0.00000,3.02276,21.00554,25.89465,3.37888,4.00341,3.84211,0.77458,10.23418,1.06902,7.42877,1.82309,8.11986,9.62067,9.23306,3.36909,44.51450,0.00177,0.01232,0.09899,1.02942,1.18015,1.94622,0.51502,1.31721,4.17553,5.40797,1.54490,1.08848,1.24785,2.05787,2.45624,6.28201,2.45227,3.17608,0.93658,0.57643,0.66083,1.08980,2.27815,5.82655,0.34954,0.45271,0.10005,14.52978,32.41080,74.66427,51.84710,102.1842,53.50726,0.00000,0.00000,0.37910
,5,146.7929,183.9850,237.5579,195.2049,565.8715,58.01527,124.7082,141.4341,6.43368,10.55238,12.03109,0.00000,0.00000,7.09005,53.72700,80.27986,10.61347,17.40797,19.84737,8.15427,168.6512,3e-07,3e-06,0.00000,44.32356,52.51597,50.40013,0.00000,0.00000,35.53609,246.9448,175.5361,53.76256,63.69960,61.13319,13.63844,180.1995,19.85498,137.9748,31.34326,159.5262,189.0117,181.3966,78.83430,1041.608,0.09124,0.63405,0.38384,9.53815,10.93474,18.03281,7.65828,19.58666,57.26488,74.16702,33.01552,20.71984,23.75366,39.17288,66.39838,169.8191,61.30187,79.39555,35.96994,19.94097,22.86075,37.70036,118.4381,302.9147,14.68931,19.02497,7.60163,44.14050,132.4450,61.47520,93.66219,111.8458,650.5096,243.0000,0.00000,3.15440
,6,206.9480,166.8956,485.4283,180.1824,423.8471,49.95100,95.50317,71.29032,5.89727,9.67257,11.02800,0.00000,0.00000,7.70028,58.35116,130.5958,7.57519,12.42465,14.16572,7.31664,151.3268,3e-07,2.5e-06,0.00000,39.90342,47.27886,45.37402,0.00000,0.00000,41.05242,285.2784,605.7290,37.96765,44.98528,43.17285,12.85721,169.8774,16.43012,114.1750,42.80326,97.16908,115.1290,110.4906,60.53398,799.8126,0.01594,0.11075,0.60988,5.22551,5.99063,9.87933,6.21917,15.90601,43.43241,56.25179,33.62978,8.87996,10.18018,16.78844,48.09642,123.0104,41.11446,53.24969,32.53533,5.73373,6.57327,10.84018,55.84299,142.8229,6.57251,8.51243,4.47160,144.7989,238.7940,61.41010,461.3620,171.4217,377.8995,411.0000,0.00000,4.72490
,7,412.3723,245.5106,691.5886,211.8147,539.3380,71.32600,126.6054,97.26836,14.41020,23.63528,26.94731,0.00000,0.00000,11.97174,90.71944,292.1701,19.57322,32.10353,36.60223,10.79133,223.1924,3e-07,2.3e-06,0.00000,37.87877,44.87998,43.07180,0.00000,0.00000,42.74123,297.0142,998.9138,44.72773,52.99484,50.85972,14.75738,194.9837,17.34225,120.5135,61.74380,134.8651,159.7924,153.3546,73.21263,967.3308,0.02889,0.20077,1.02683,7.83443,8.98155,14.81176,8.94159,22.86883,58.96625,76.37057,57.84931,12.57810,14.41980,23.78012,63.79406,163.1584,51.81353,67.10667,51.27127,8.42258,9.65582,15.92371,77.01077,196.9612,9.15762,11.86055,7.75535,83.62460,223.3320,42.14450,252.4130,217.1968,213.9873,351.0000,0.00000,0.00000
,8,182.7855,125.2770,275.0110,110.1295,330.4967,40.53358,81.43454,72.76411,6.45095,10.58070,12.06339,0.00000,0.00000,5.35718,40.59565,131.4867,10.31970,16.92613,19.29801,5.58991,115.6137,2e-07,2e-06,0.00000,23.14157,27.41887,26.31418,0.00000,0.00000,20.79675,144.5192,372.2061,28.71755,34.02547,32.65460,7.88534,104.1861,10.12331,70.34811,27.43199,96.70033,114.5736,109.9576,45.81313,605.3116,0.03483,0.24202,0.46830,6.31909,7.24434,11.94685,5.30958,13.57967,36.64309,47.45857,30.98555,12.66500,14.51942,23.94442,43.05891,110.1266,36.49807,47.27074,31.60181,9.50633,10.89826,17.97266,60.54142,154.8395,7.41526,9.60393,5.60522,60.57570,287.4780,48.52880,758.9210,354.7625,132.5065,0.00000,0.00000,0.00000
,9,45.57653,15.45528,86.04523,12.38978,27.43060,5.39616,8.46666,5.39996,0.34979,0.57371,0.65411,0.00000,0.00000,0.71608,5.42630,36.96894,0.24775,0.40635,0.46330,0.66428,13.73893,0.00000,2e-07,0.00000,2.13615,2.53098,2.42901,0.00000,0.00000,3.04517,21.16127,140.4424,1.90868,2.26146,2.17035,0.84867,11.21315,0.85309,5.92825,4.25081,4.85538,5.75281,5.52103,3.66072,48.36774,0.00125,0.00870,0.05336,0.36735,0.42114,0.69451,0.74603,1.90802,4.36782,5.65701,5.89892,0.50071,0.57403,0.94664,4.65583,11.90766,3.33882,4.32430,4.48940,0.28586,0.32772,0.54045,4.80037,12.27732,0.47153,0.61070,0.55326,1.97846,16.47680,1.01585,9.88413,7.09310,11.91642,0.00000,0.00000,0.00000
,10,27.16838,28.53581,53.77148,28.55474,102.4232,8.73906,19.01809,24.76345,2.71964,4.46068,5.08576,0.00000,0.00000,1.23306,9.34388,16.55881,5.69026,9.33303,10.64087,1.33093,27.52713,0.00000,0.00000,0.00000,5.94639,7.04547,6.76161,0.00000,0.00000,4.46453,31.02456,69.77097,9.16413,10.85795,10.42049,2.02953,26.81541,2.73479,19.00444,6.26798,38.71243,45.86774,44.01976,14.14293,186.8652,0.01835,0.12753,0.18207,1.77839,2.03879,3.36223,1.26682,3.23999,9.24867,11.97848,5.84970,3.84773,4.41112,7.27451,10.97370,28.06612,9.87826,12.79391,6.33912,4.46564,5.11950,8.44273,22.84864,58.43722,2.66807,3.45557,1.53357,37.74930,26.00210,29.29913,12.99848,45.92457,131.9619,0.00000,0.00000,0.00000
