
Project Name,0295_TimeOfUseCharging_2404_E23b
emmebank Title,020_MSM_Template_Mat_24_E23B
Year,2026
Slot No,16
Scenario Title AM,2026 AM TOUCH_base_AGSv1_E23B_NC
Date,20240724
User,ChapaJay1
File Name,C:/001_Z/MSM_P2_E23b/0295_TimeOfUseCharging_2404/2026/2026/outputs/Landuse_Table/Landuse_Detailed_Table_2026_Slot_16.csv

c ,Zone,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH1PT1,HH1PT2,HH1PT3,HH1PT4,HH1PT5,HH1PT6,HH1PT7,HH1PT8,HH2PT1,HH2PT2,HH2PT3,HH2PT4,HH2PT5,HH2PT6,HH2PT7,HH2PT8,HH3PT1,HH3PT2,HH3PT3,HH3PT4,HH3PT5,HH3PT6,HH3PT7,HH3PT8,HH4PT1,HH4PT2,HH4PT3,HH4PT4,HH4PT5,HH4PT6,HH4PT7,HH4PT8,HH5PT1,HH5PT2,HH5PT3,HH5PT4,HH5PT5,HH5PT6,HH5PT7,HH5PT8,HH6PT1,HH6PT2,HH6PT3,HH6PT4,HH6PT5,HH6PT6,HH6PT7,HH6PT8,HH7PT1,HH7PT2,HH7PT3,HH7PT4,HH7PT5,HH7PT6,HH7PT7,HH7PT8,HH8PT1,HH8PT2,HH8PT3,HH8PT4,HH8PT5,HH8PT6,HH8PT7,HH8PT8,E1,E2,E3,E4,E5,E6,Prim,Sec,Tert
,1,141.9726,203.3346,260.2890,83.56663,449.2473,42.89386,90.88321,103.7612,8.50560,12.19176,13.88601,0.00000,0.00000,7.50031,48.37952,86.09274,18.11006,24.95471,27.78268,11.32358,192.0110,0.00056,0.00456,0.01488,30.28866,34.47242,34.96057,0.00000,0.00000,26.65701,184.0266,309.8944,28.42687,32.45772,32.98644,5.41176,78.15487,9.01625,40.04874,29.32570,102.3259,116.7396,118.8194,60.70926,837.7853,0.02134,0.16764,0.45883,6.90746,7.59814,12.63309,1.87011,5.56792,27.73049,35.31823,64.74429,16.96826,18.66335,31.09284,45.46857,136.2978,41.95850,54.26273,40.68066,12.13214,13.38254,22.44157,77.83694,233.4468,7.41760,11.20452,6.45383,99.19479,144.9462,39.75492,126.8869,179.9722,413.5699,170.3612,12.44564,1.70412
,2,97.27333,101.2278,71.15673,23.61250,116.1987,24.72334,33.94964,37.00936,5.63635,7.39961,7.82301,0.00000,0.00000,4.23950,27.04503,65.98881,13.36879,16.25196,16.15925,6.59948,94.62827,0.00009,0.00087,0.00534,12.33860,14.02357,14.49137,0.00000,0.00000,10.48459,59.13298,72.69588,10.94054,12.43687,12.85419,1.67424,21.93826,2.53060,12.97860,6.37010,36.47109,41.31780,42.38631,18.69717,213.7002,0.00295,0.02346,0.11651,5.69273,6.36907,9.33189,1.33564,4.65482,14.78401,23.30944,37.51048,9.47889,10.57508,15.44630,15.03265,52.86662,14.82417,22.35862,13.56533,6.79840,7.60576,11.11957,24.43664,86.59144,3.06559,5.40355,3.04868,70.95889,50.56106,102.5267,166.6854,132.7016,44.40260,416.4326,396.2690,8.42181
,3,44.30154,71.35231,55.06739,19.62796,102.9939,20.48939,36.21447,32.85200,2.84074,3.82768,4.12828,0.00000,0.00000,3.22218,18.98224,22.09712,5.01432,6.54999,6.90294,4.76921,66.58310,0.00001,0.00010,0.00104,9.51667,10.74913,10.90590,0.00000,0.00000,8.51293,47.11485,54.50698,7.59143,8.62427,8.76257,1.45963,18.16833,2.04487,9.62831,6.50312,23.65457,26.95599,27.31918,15.86020,190.1277,0.00659,0.05225,0.08805,4.81204,5.26364,7.36104,1.07484,3.88261,11.14503,17.63392,32.26529,8.59492,9.40002,13.12104,15.50899,56.91994,13.19591,20.66676,16.47490,5.18849,5.73537,8.04441,20.83173,77.72426,1.94765,3.58172,2.12513,4.57199,15.29579,2.53405,2.22868,22.63704,35.47626,5.75245,2.25641,0.00000
,4,27.76502,20.48665,30.75419,8.30123,33.62102,5.33591,5.96283,3.95236,1.05064,1.40945,1.51764,0.00000,0.00000,1.23404,8.74468,17.78631,1.47761,1.77570,1.75059,1.13580,19.35085,0.00033,0.00273,0.00324,3.91757,4.40947,4.40849,0.00000,0.00000,3.55517,24.38064,33.57257,3.15418,3.55731,3.56532,0.57114,7.73008,0.84589,4.32057,2.08932,9.73417,10.95752,10.81380,4.50117,62.74087,0.00229,0.01838,0.08354,1.48017,1.59674,2.56789,0.40713,1.23161,3.68508,5.15436,8.07759,1.74615,1.88482,3.03646,2.96093,8.96472,2.68884,3.75740,1.90331,0.74519,0.81383,1.33442,2.93799,8.91908,0.26449,0.40595,0.15052,18.63810,41.80086,91.73660,57.26862,120.0828,66.08625,1.84662,0.72434,0.34579
,5,170.1699,268.6291,248.4976,101.9079,660.5298,50.47403,114.7360,188.1479,7.03759,10.04854,11.38999,0.00000,0.00000,8.41346,48.86400,112.8924,17.55386,24.23248,26.83739,16.26894,252.3602,0.00012,0.00109,0.00202,38.93372,44.40154,45.94770,0.00000,0.00000,34.51704,218.2268,244.2514,41.55970,47.56948,49.08484,6.66585,95.24209,12.22233,52.36437,32.67076,163.4942,186.8454,193.1683,93.28526,1227.774,0.07190,0.56359,0.45279,9.86930,10.80263,17.92110,2.28447,6.78532,38.13432,48.45000,71.12067,27.20751,29.71540,49.18667,57.57242,171.8997,57.50480,70.26423,50.32578,24.92033,27.39452,46.00262,141.8365,422.6071,13.53810,20.38033,10.45443,57.10949,173.2987,71.72704,97.10816,129.2922,700.9777,275.1893,12.62634,2.87720
,6,260.3437,259.7314,491.7898,122.6460,538.1984,43.08060,86.30926,87.98895,8.00301,11.38424,13.06762,0.00000,0.00000,10.00958,64.90406,185.4300,15.85154,21.54964,24.10865,13.90444,245.8269,0.00047,0.00371,0.02453,37.57789,42.94199,44.16114,0.00000,0.00000,38.35737,270.8214,674.4009,32.92973,37.68467,38.74207,7.97048,114.6755,11.85493,55.74313,45.34979,107.2739,122.5721,125.9809,72.27328,1004.123,0.01424,0.11125,0.64913,5.07196,5.57632,9.61052,2.39007,6.95085,29.90463,37.52783,57.28624,10.29790,11.31879,19.55474,44.36276,128.2558,40.23496,51.44277,37.57096,6.79323,7.47925,12.97619,67.91818,196.0486,6.35730,9.31203,5.53004,147.5936,282.4758,75.70570,461.6024,182.4802,409.4226,448.6077,14.75173,4.30969
,7,535.2368,559.9529,573.4445,106.1046,591.0128,118.3764,127.7593,122.2770,20.34188,26.41503,27.78676,0.00000,0.00000,19.45996,108.5224,407.2544,62.22858,74.95667,74.44346,37.81423,522.1387,0.00102,0.00865,0.08370,36.27600,40.74022,42.28419,0.00000,0.00000,43.05909,227.0681,876.7617,36.34447,40.97066,42.59001,8.05284,98.05180,8.97461,33.00620,55.23824,143.7958,162.3869,164.8848,96.09084,1085.935,0.01530,0.12139,0.62627,14.58323,15.73383,23.33841,4.46068,14.33349,35.87327,47.98598,270.7628,24.92842,26.98749,40.32614,59.91436,195.6043,45.01920,61.75320,78.35125,13.92425,15.19814,23.11641,85.69587,281.1352,7.59453,12.54579,13.72923,90.01516,273.2445,52.90556,263.7117,247.1706,243.4029,389.2062,14.98648,0.00000
,8,226.9547,187.2597,312.9111,70.62928,445.0405,32.20290,77.89133,102.5830,7.12623,10.91948,13.11632,0.00000,0.00000,6.21392,41.14494,179.5958,16.69246,24.67020,29.24971,9.15814,178.1016,0.00105,0.00812,0.01675,22.94874,26.29668,27.05824,0.00000,0.00000,20.95361,149.6736,455.1950,24.83647,28.50034,29.30704,4.51723,66.11206,7.35052,26.36597,32.10112,116.6820,133.5301,137.4398,58.14400,831.9371,0.03571,0.27875,0.57068,5.71977,6.34881,11.17806,2.00916,5.83381,27.07985,33.75851,37.75957,14.24056,15.78001,27.80379,40.19487,115.5878,37.81829,46.54631,36.81107,11.41027,12.63775,22.27191,79.54365,228.2054,7.82571,11.38367,6.78115,68.66788,358.8165,66.84043,782.7153,392.6531,155.5180,51.71588,20.28570,0.00000
,9,49.86255,19.27991,75.42658,7.45147,27.87131,6.56434,8.17381,6.84475,0.42762,0.61374,0.71257,0.00000,0.00000,0.79753,5.03090,44.03411,0.54971,0.72973,0.81347,1.10891,18.17101,0.00005,0.00041,0.00272,1.73115,1.97267,2.08307,0.00000,0.00000,2.70576,17.22922,130.9182,1.41080,1.61170,1.69160,0.54495,6.90652,0.49521,2.03674,3.94883,4.47251,5.10893,5.32076,4.17351,51.56912,0.00095,0.00742,0.04883,0.43285,0.48114,0.74277,0.33921,1.07793,2.71882,3.97520,14.48843,0.68230,0.75890,1.17467,3.90860,12.43902,2.99485,4.08580,4.69346,0.39348,0.43849,0.68249,5.17646,16.47045,0.41917,0.65744,0.62816,1.91125,17.91422,1.07716,9.08690,7.07286,11.98986,0.00000,0.00000,0.00000
,10,37.98398,49.92574,59.68788,12.95190,121.9653,7.42121,16.41543,34.01392,2.63489,4.00648,4.79902,0.00000,0.00000,1.45185,9.15856,27.37357,9.02902,13.05719,15.36505,2.75507,47.17066,0.00099,0.00758,0.01359,5.05782,5.80464,5.99061,0.00000,0.00000,4.33485,28.05825,86.98267,6.28701,7.23331,7.45504,0.83656,12.11534,1.59214,4.04309,6.46947,41.07069,47.06478,48.60706,16.67524,227.2553,0.01640,0.12828,0.22473,1.71369,1.93327,3.16146,0.40986,1.27553,6.27015,8.28476,10.58055,4.49811,5.06639,8.29081,8.04039,24.79047,8.66147,10.18763,7.22894,5.78145,6.50661,10.65140,27.42484,84.22563,2.64396,4.04287,1.87044,45.33278,36.29693,38.94074,17.62443,56.51630,163.7632,10.33946,4.05569,0.00000
