MSM2018,LBA_Name,Sector_1,Sector_2,Sector_3,
1,Rodney,West Auckland,Rodney,Rodney,
2,Rodney,West Auckland,Rodney,Rodney,
3,Rodney,West Auckland,Rodney,Rodney,
4,Rodney,West Auckland,Rodney,Rodney,
5,Rodney,West Auckland,Rodney,Rodney,
6,Rodney,West Auckland,Rodney,Rodney,
7,Rodney,West Auckland,Rodney,Rodney,
8,Rodney,West Auckland,Rodney,Rodney,
9,Rodney,West Auckland,Rodney,Rodney,
10,Rodney,West Auckland,Rodney,Rodney,
11,Rodney,West Auckland,Rodney,Rodney,
12,Rodney,West Auckland,Rodney,Rodney,
13,Rodney,West Auckland,Rodney,Rodney,
14,Rodney,West Auckland,Rodney,Rodney,
15,Rodney,West Auckland,Rodney,Rodney,
16,Rodney,West Auckland,Rodney,Rodney,
17,Rodney,West Auckland,Rodney,Rodney,
18,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
19,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
20,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
21,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
22,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
23,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
24,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
25,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
26,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
27,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
28,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
29,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
30,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
31,Rodney,West Auckland,Rodney,Rodney,
32,Rodney,West Auckland,Rodney,Rodney,
33,Rodney,West Auckland,Rodney,Rodney,
34,Rodney,West Auckland,Rodney,Rodney,
35,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
36,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
37,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
38,Rodney,West Auckland,Rodney,Rodney,
39,Rodney,West Auckland,Rodney,Rodney,
40,Rodney,West Auckland,Rodney,Rodney,
41,Rodney,West Auckland,Rodney,Rodney,
42,Rodney,West Auckland,Rodney,Rodney,
43,Rodney,West Auckland,Rodney,Rodney,
44,Rodney,West Auckland,Rodney,Rodney,
45,Rodney,West Auckland,Rodney,Rodney,
46,Rodney,West Auckland,Rodney,Rodney,
47,Rodney,West Auckland,Rodney,Rodney,
48,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
49,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
50,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
51,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
52,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
53,Upper Harbour,North Shore,North Shore,Albany,
54,Upper Harbour,North Shore,North Shore,Albany,
55,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
56,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
57,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
58,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
59,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
60,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
