MX_ID,Period,Mode,Trip_Purpose,Value
6,AM,Car,HBW,Trips
7,IP,Car,HBW,Trips
8,SP,Car,HBW,Trips
9,PM,Car,HBW,Trips
10,OP,Car,HBW,Trips
11,AM,Car,HBE,Trips
12,IP,Car,HBE,Trips
13,SP,Car,HBE,Trips
14,PM,Car,HBE,Trips
15,OP,Car,HBE,Trips
16,AM,Car,HBSh,Trips
17,IP,Car,HBSh,Trips
18,SP,Car,HBSh,Trips
19,PM,Car,HBSh,Trips
20,OP,Car,HBSh,Trips
21,AM,Car,HBO,Trips
22,IP,Car,HBO,Trips
23,SP,Car,HBO,Trips
24,PM,Car,HBO,Trips
25,OP,Car,HBO,Trips
26,AM,Car,EB,Trips
27,IP,Car,EB,Trips
28,SP,Car,EB,Trips
29,PM,Car,EB,Trips
30,OP,Car,EB,Trips
31,AM,Car,NHBO,Trips
32,IP,Car,NHBO,Trips
33,SP,Car,NHBO,Trips
34,PM,Car,NHBO,Trips
35,OP,Car,NHBO,Trips
36,AM,PT,HBW,Trips
37,IP,PT,HBW,Trips
38,SP,PT,HBW,Trips
39,PM,PT,HBW,Trips
40,OP,PT,HBW,Trips
41,AM,PT,HBE,Trips
42,IP,PT,HBE,Trips
43,SP,PT,HBE,Trips
44,PM,PT,HBE,Trips
45,OP,PT,HBE,Trips
46,AM,PT,HBSh,Trips
47,IP,PT,HBSh,Trips
48,SP,PT,HBSh,Trips
49,PM,PT,HBSh,Trips
50,OP,PT,HBSh,Trips
51,AM,PT,HBO,Trips
52,IP,PT,HBO,Trips
53,SP,PT,HBO,Trips
54,PM,PT,HBO,Trips
55,OP,PT,HBO,Trips
56,AM,PT,EB,Trips
57,IP,PT,EB,Trips
58,SP,PT,EB,Trips
59,PM,PT,EB,Trips
60,OP,PT,EB,Trips
61,AM,PT,NHBO,Trips
62,IP,PT,NHBO,Trips
63,SP,PT,NHBO,Trips
64,PM,PT,NHBO,Trips
65,OP,PT,NHBO,Trips
66,AM,Car,All,Trips
67,IP,Car,All,Trips
68,SP,Car,All,Trips
69,PM,Car,All,Trips
70,OP,Car,All,Trips
71,AM,PT,All,Trips
72,IP,PT,All,Trips
73,SP,PT,All,Trips
74,PM,PT,All,Trips
75,OP,PT,All,Trips
80,AM,External,All,Trips
81,IP,External,All,Trips
82,PM,External,All,Trips
83,AM,HCV,All,Trips
84,IP,HCV,All,Trips
85,PM,HCV,All,Trips
86,AM,Vehicle,All,Trips
87,IP,Vehicle,All,Trips
88,PM,Vehicle,All,Trips
89,AM,Car,All,Time
90,AM,Car,All,Distance
91,AM,Car,All,Toll
92,IP,Car,All,Time
93,IP,Car,All,Distance
94,IP,Car,All,Toll
95,PM,Car,All,Time
96,PM,Car,All,Distance
97,PM,Car,All,Toll
171,AM,PT,All,Time
172,AM,PT,All,Distance
178,AM,PT,All,Fare
179,IP,PT,All,Time
180,IP,PT,All,Distance
186,IP,PT,All,Fare
187,PM,PT,All,Time
188,PM,PT,All,Distance
194,PM,PT,All,Fare
100,AM,Car,HBW,GC
101,IP,Car,HBW,GC
102,SP,Car,HBW,GC
103,PM,Car,HBW,GC
104,OP,Car,HBW,GC
105,AM,Car,EB,GC
106,IP,Car,EB,GC
107,SP,Car,EB,GC
108,PM,Car,EB,GC
109,OP,Car,EB,GC
110,AM,Car,Other,GC
111,IP,Car,Other,GC
112,SP,Car,Other,GC
113,PM,Car,Other,GC
114,OP,Car,Other,GC
115,AM,PT,HBW,GC
116,IP,PT,HBW,GC
117,SP,PT,HBW,GC
118,PM,PT,HBW,GC
119,OP,PT,HBW,GC
120,AM,PT,HBE,GC
121,IP,PT,HBE,GC
122,SP,PT,HBE,GC
123,PM,PT,HBE,GC
124,OP,PT,HBE,GC
125,AM,PT,EB,GC
126,IP,PT,EB,GC
127,SP,PT,EB,GC
128,PM,PT,EB,GC
129,OP,PT,EB,GC
130,AM,PT,Other,GC
131,IP,PT,Other,GC
132,SP,PT,Other,GC
133,PM,PT,Other,GC
134,OP,PT,Other,GC
