MX_ID,Mode,Trip_Purpose,Congested,Value
191,Car,HBW,,Time
192,Car,HBE,,Time
193,Car,HBSh,,Time
194,Car,HBO,,Time
195,Car,EB,,Time
196,Car,NHBO,,Time
197,HCV,HCV,,Time
391,Car,HBW,,Trips
392,Car,HBE,,Trips
393,Car,HBSh,,Trips
394,Car,HBO,,Trips
395,Car,EB,,Trips
396,Car,NHBO,,Trips
397,HCV,HCV,,Trips
591,Car,HBW,Congested,Time
592,Car,HBE,Congested,Time
593,Car,HBSh,Congested,Time
594,Car,HBO,Congested,Time
595,Car,EB,Congested,Time
596,Car,NHBO,Congested,Time
597,HCV,HCV,Congested,Time
791,Car,HBW,Congested,Trips
792,Car,HBE,Congested,Trips
793,Car,HBSh,Congested,Trips
794,Car,HBO,Congested,Trips
795,Car,EB,Congested,Trips
796,Car,NHBO,Congested,Trips
797,HCV,HCV,Congested,Trips
891,Car,All,,VHT
892,Car,All,,Trips
893,Car,All,,Time
894,Car,All,Congested,VHT
895,Car,All,Congested,Trips
896,Car,All,Congested,Time
991,HCV,All,,VHT
992,HCV,All,,Trips
993,HCV,All,,Time
994,HCV,All,Congested,VHT
995,HCV,All,Congested,Trips
996,HCV,All,Congested,Time
11,PT,HBW,,Time
12,PT,HBE,,Time
13,PT,HBSh,,Time
14,PT,HBO,,Time
15,PT,EB,,Time
16,PT,NHBO,,Time
17,PT,AP,,Time
18,Bus,AP,,Time
21,PT,HBW,,Trips
22,PT,HBE,,Trips
23,PT,HBSh,,Trips
24,PT,HBO,,Trips
25,PT,EB,,Trips
26,PT,NHBO,,Trips
27,PT,AP,,Trips
28,Bus,AP,,Trips
31,PT,HBW,Congested,Time
32,PT,HBE,Congested,Time
33,PT,HBSh,Congested,Time
34,PT,HBO,Congested,Time
35,PT,EB,Congested,Time
36,PT,NHBO,Congested,Time
37,PT,AP,Congested,Time
38,Bus,AP,Congested,Time
41,PT,HBW,Congested,Trips
42,PT,HBE,Congested,Trips
43,PT,HBSh,Congested,Trips
44,PT,HBO,Congested,Trips
45,PT,EB,Congested,Trips
46,PT,NHBO,Congested,Trips
47,PT,AP,Congested,Trips
48,Bus,AP,Congested,Trips
51,PT,All,,PHT
52,PT,All,,Trips
53,PT,All,,Time
54,PT,All,Congested,PHT
55,PT,All,Congested,Trips
56,PT,All,Congested,Time
