SA22018_code,LBA_Name,Sector_2,Sector_3
116300,Rodney,Rodney,Rodney
116400,Rodney,Rodney,Rodney
116600,Upper Harbour,North Shore,Albany
146900,Aotea/Great Barrier,Other Areas,Other Areas
157500,Howick,East Auckland,East Tamaki / Flat Bush
157600,Manurewa,South Auckland,Manurewa
162300,Franklin,Franklin,Franklin
162400,Franklin,Franklin,Franklin
162500,Papakura,South Auckland,Papakura
162700,Franklin,Franklin,Franklin
165200,Franklin,Franklin,Franklin
147400,Maungakiekie - Tamaki,Isthmus East,Mount Wellington / Tamaki
110900,Rodney,Rodney,Rodney
111100,Rodney,Rodney,Rodney
111200,Rodney,Rodney,Rodney
115100,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
115300,Rodney,Rodney,Rodney
115500,Rodney,Rodney,Rodney
111300,Rodney,Rodney,Rodney
111400,Rodney,Rodney,Rodney
111500,Rodney,Rodney,Rodney
111600,Rodney,Rodney,Rodney
112600,Rodney,Rodney,Rodney
112700,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
115600,Rodney,Rodney,Rodney
113000,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
113200,Rodney,Rodney,Rodney
114100,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
114300,Aotea/Great Barrier,Other Areas,Other Areas
114400,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
114700,Rodney,Rodney,Rodney
114800,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
116000,Hibiscus and Bays,Hibiscus Coast,Hibiscus Coast
116100,Rodney,Rodney,Rodney
116900,Upper Harbour,North Shore,Albany
117000,Upper Harbour,West Auckland,Hobsonville
117100,Waitakere Ranges,West Auckland,Waitakere Ranges
117300,Upper Harbour,North Shore,Albany
117800,Upper Harbour,North Shore,Albany
118700,Hibiscus and Bays,North Shore,NE North Shore
118900,Upper Harbour,North Shore,Albany
119200,Upper Harbour,West Auckland,Hobsonville
120200,Upper Harbour,West Auckland,Hobsonville
121000,Kaipatiki,North Shore,Kaipatiki
121200,Devonport - Takapuna,North Shore,Devonport - Takapuna
121300,Devonport - Takapuna,North Shore,Devonport - Takapuna
122600,Devonport - Takapuna,North Shore,Devonport - Takapuna
123000,Henderson - Massey,West Auckland,Henderson
124000,Kaipatiki,North Shore,Kaipatiki
124600,Kaipatiki,North Shore,Kaipatiki
124700,Waitakere Ranges,West Auckland,Waitakere Ranges
125000,Henderson - Massey,West Auckland,Henderson
126000,Henderson - Massey,West Auckland,Henderson
126400,Henderson - Massey,West Auckland,Henderson
127200,Kaipatiki,North Shore,Kaipatiki
127600,Waitakere Ranges,West Auckland,Waitakere Ranges
127900,Henderson - Massey,West Auckland,Henderson
128000,Waitakere Ranges,West Auckland,Waitakere Ranges
128700,Whau,Isthmus West,Whau
129000,Waitakere Ranges,West Auckland,Waitakere Ranges
129300,Devonport - Takapuna,North Shore,Devonport - Takapuna
129600,Waitakere Ranges,West Auckland,Waitakere Ranges
130000,Waitakere Ranges,West Auckland,Waitakere Ranges
131600,Waitemata,City Fringe West,City Fringe West
132700,Waitemata,CBD,CBD
133500,Waitemata,City Fringe West,City Fringe West
133600,Albert - Eden,Inner Isthmus West,Inner Isthmus West
134100,Waitemata,CBD,CBD
135100,Waitemata,CBD,CBD
135200,Albert - Eden,Inner Isthmus West,Inner Isthmus West
135900,Waitemata,CBD,CBD
136200,Albert - Eden,Inner Isthmus West,Inner Isthmus West
136700,Waitakere Ranges,West Auckland,Waitakere Ranges
136800,Albert - Eden,Inner Isthmus West,Inner Isthmus West
137300,Whau,Isthmus West,Whau
137500,Waitakere Ranges,West Auckland,Waitakere Ranges
138900,Whau,Isthmus West,Whau
139300,Albert - Eden,Inner Isthmus Central,Mount Eden / Epsom
140200,Albert - Eden,Inner Isthmus Central,Mount Eden / Epsom
140700,Puketapapa,Isthmus Central,Puketapapa
142100,Puketapapa,Isthmus Central,Puketapapa
143300,Orakei,Isthmus East,Remuera / Ellerslie
143400,Maungakiekie - Tamaki,Isthmus East,Onehunga / Penrose
144600,Aotea/Great Barrier,Other Areas,Other Areas
145700,Orakei,Isthmus East,Orakei
146100,Mangere - Otahuhu,South Auckland,Mangere - Otahuhu
147500,Mangere - Otahuhu,South Auckland,Mangere - Otahuhu
147600,Aotea/Great Barrier,Other Areas,Other Areas
